"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-09","4.03"," 0810","0.52",,"70","57","   40","  360","13.0","19.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-10","8.50"," 0758","0.47",,"59","51","  100","   70","16.1","21.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-11","6.71"," 1321","0.46",,"65","48","  140","  140","17.0","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-12","3.80"," 1428","0.13",,"63","50","   60","   60","12.1","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-13","6.04"," 1604","0.00",,"78","50","  210","  200","15.0","23.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-14","3.13"," 2015","0.47",,"69","54","  180","  180","17.0","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-15","5.82"," 1312","0.10",,"69","59","   50","   60","14.1","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-16","7.61"," 2113","0.00",,"79","55","  100","  100","16.1","21.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-17","4.47"," 1449","0.00",,"69","61","  130","  140","10.1","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-18","3.80"," 0804","0.11",,"67","62","  190","  120","8.1","12.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-19","2.91"," 1841","0.00",,"81","63","  150","  150","10.1","12.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-20","4.03"," 1740","0.00",,"85","60","  110","  110","8.9","12.1","    1",,,"    1"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-21","5.14"," 2129","0.00",,"89","62","  180","  160","15.0","25.1",,,,"    1"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-22","5.37"," 1338","0.00",,"90","67","  200","  170","14.1","19.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-23","3.13"," 0613","0.04",,"86","70","  290","  290","19.9","29.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-24","3.58"," 1348","0.00",,"90","67","  310","  340","14.1","18.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-25","3.58"," 1644","0.15",,"89","64","  330","  350","19.9","29.1",,,"    1","    1"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-26","5.82"," 2337","0.04",,"88","67","  180","  190","19.9","33.1","    1",,"    1","    1"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-27","7.61"," 0014","0.07",,"83","70","  140","  130","23.0","30.0",,,"    1",
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-28","9.17"," 1626","0.00",,"83","66","  330","  290","19.9","32.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-29","4.70"," 1350","0.10",,"77","58","  230","  350","13.0","17.0",,,"    1",
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-30","7.61"," 1124","0.00",,"76","58","  320","  330","15.0","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-05-31","6.49"," 1058","0.00",,"80","51","  330","  330","15.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-01","2.91"," 1425","0.00",,"86","52","   20","  280","8.1","13.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-02","3.13"," 1935","0.00",,"82","58","  230","  210","13.0","17.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-03",," 0605","0.00",,"93","68","  280","  280","4.9","6.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-04",," 1807","0.00",,"90","64","  130","  150","15.0","21.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-05","8.05"," 1522","0.99",,"82","70","  130","  150","15.0","21.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-06","5.82"," 1445","0.01",,"89","70","  260","  260","18.1","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-07","7.61"," 1224","0.00",,"83","68","  280","  280","21.9","36.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-08","7.38"," 1250","0.00",,"83","62","  290","  290","19.9","25.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-09","7.16"," 1301","0.00",,"81","62","  300","  310","19.9","29.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-10","8.05"," 0801","0.00",,"78","58","  290","  310","18.1","28.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-11","6.04"," 1114","0.00",,"73","58","  310","  300","13.0","17.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-06-12","3.80"," 1113","0.00",,"82","53","  320","  320","13.0","18.1",,,,
